Mon Nov 29 06:44:53 EST 2021 | tT(mins): 782.379 |  f: 69 | RT(s): 141.827 | aRT(s): 335.305  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 06:54:55 EST 2021 | tT(mins): 792.418 |  f: 70 | RT(s): 602.85  | aRT(s): 337.199  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 06:56:13 EST 2021 | tT(mins): 793.716 |  f: 70 | RT(s):  77.706 | aRT(s): 335.373  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 07:06:14 EST 2021 | tT(mins): 803.729 |  f: 71 | RT(s): 600.747 | aRT(s): 337.229  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 07:16:17 EST 2021 | tT(mins): 813.762 |  f: 72 | RT(s): 601.780 | aRT(s): 339.67   maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 07:26:22 EST 2021 | tT(mins): 823.845 |  f: 73 | RT(s): 603.646 | aRT(s): 340.901  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 07:29:28 EST 2021 | tT(mins): 826.960 |  f: 73 | RT(s): 186.29  | aRT(s): 339.846  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 07:33:53 EST 2021 | tT(mins): 831.378 |  f: 74 | RT(s): 264.739 | aRT(s): 339.338  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 07:35:22 EST 2021 | tT(mins): 832.864 |  f: 74 | RT(s):  88.717 | aRT(s): 337.647  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 07:36:41 EST 2021 | tT(mins): 834.176 |  f: 74 | RT(s):  78.643 | aRT(s): 335.909  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 07:38:10 EST 2021 | tT(mins): 835.662 |  f: 74 | RT(s):  89.100 | aRT(s): 334.264  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 07:39:57 EST 2021 | tT(mins): 837.443 |  f: 74 | RT(s): 106.723 | aRT(s): 332.758  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 07:50:00 EST 2021 | tT(mins): 847.491 |  f: 75 | RT(s): 602.633 | aRT(s): 334.535  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 08:00:02 EST 2021 | tT(mins): 857.531 |  f: 76 | RT(s): 601.830 | aRT(s): 336.286  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 08:01:29 EST 2021 | tT(mins): 858.975 |  f: 77 | RT(s):  86.492 | aRT(s): 334.665  maxRT(s): 618.31  | minRT(s):  70.130 
Mon Nov 29 08:32:43 EST 2021 | tT(mins): 890.214 |  f: 77 | RT(s): 1874.109 | aRT(s): 344.599  maxRT(s): 1874.109 | minRT(s):  70.130 
Mon Nov 29 08:34:04 EST 2021 | tT(mins): 891.565 |  f: 77 | RT(s):  80.993 | aRT(s): 342.909  maxRT(s): 1874.109 | minRT(s):  70.130 
Mon Nov 29 08:35:28 EST 2021 | tT(mins): 892.956 |  f: 77 | RT(s):  83.399 | aRT(s): 341.257  maxRT(s): 1874.109 | minRT(s):  70.130 
Mon Nov 29 08:45:29 EST 2021 | tT(mins): 902.969 |  f: 78 | RT(s): 600.737 | aRT(s): 342.899  maxRT(s): 1874.109 | minRT(s):  70.130 
Mon Nov 29 08:46:46 EST 2021 | tT(mins): 904.260 |  f: 78 | RT(s):  77.223 | aRT(s): 341.230  maxRT(s): 1874.109 | minRT(s):  70.130 
