Mon Oct 25 15:56:04 EDT 2021 | tT(mins):  13.776 |  f: 0 | RT(s):   7.287 | aRT(s):   6.720  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:56:11 EDT 2021 | tT(mins):  13.889 |  f: 0 | RT(s):   6.750 | aRT(s):   6.720  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:56:18 EDT 2021 | tT(mins):  14.4   |  f: 0 | RT(s):   6.832 | aRT(s):   6.722  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:56:22 EDT 2021 | tT(mins):  14.85  |  f: 0 | RT(s):   4.811 | aRT(s):   6.707  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:56:30 EDT 2021 | tT(mins):  14.204 |  f: 0 | RT(s):   7.124 | aRT(s):   6.710  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:56:41 EDT 2021 | tT(mins):  14.392 |  f: 0 | RT(s):  11.221 | aRT(s):   6.746  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:56:46 EDT 2021 | tT(mins):  14.471 |  f: 0 | RT(s):   4.733 | aRT(s):   6.730  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:56:55 EDT 2021 | tT(mins):  14.622 |  f: 0 | RT(s):   9.12  | aRT(s):   6.748  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:57:01 EDT 2021 | tT(mins):  14.725 |  f: 0 | RT(s):   6.169 | aRT(s):   6.744  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:57:07 EDT 2021 | tT(mins):  14.826 |  f: 0 | RT(s):   6.50  | aRT(s):   6.739  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:57:12 EDT 2021 | tT(mins):  14.907 |  f: 0 | RT(s):   4.828 | aRT(s):   6.725  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:57:18 EDT 2021 | tT(mins):  15.18  |  f: 0 | RT(s):   6.596 | aRT(s):   6.724  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:57:27 EDT 2021 | tT(mins):  15.168 |  f: 0 | RT(s):   8.966 | aRT(s):   6.741  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:57:31 EDT 2021 | tT(mins):  15.230 |  f: 0 | RT(s):   3.716 | aRT(s):   6.719  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:57:38 EDT 2021 | tT(mins):  15.351 |  f: 0 | RT(s):   7.206 | aRT(s):   6.723  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:57:50 EDT 2021 | tT(mins):  15.538 |  f: 0 | RT(s):  11.213 | aRT(s):   6.756  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:57:55 EDT 2021 | tT(mins):  15.621 |  f: 0 | RT(s):   4.936 | aRT(s):   6.743  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:58:00 EDT 2021 | tT(mins):  15.710 |  f: 0 | RT(s):   5.282 | aRT(s):   6.733  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:58:05 EDT 2021 | tT(mins):  15.791 |  f: 0 | RT(s):   4.856 | aRT(s):   6.719  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:58:16 EDT 2021 | tT(mins):  15.982 |  f: 0 | RT(s):  11.399 | aRT(s):   6.753  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:58:22 EDT 2021 | tT(mins):  16.75  |  f: 0 | RT(s):   5.571 | aRT(s):   6.745  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:58:27 EDT 2021 | tT(mins):  16.157 |  f: 0 | RT(s):   4.859 | aRT(s):   6.732  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:58:30 EDT 2021 | tT(mins):  16.212 |  f: 0 | RT(s):   3.261 | aRT(s):   6.708  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:58:36 EDT 2021 | tT(mins):  16.306 |  f: 0 | RT(s):   5.593 | aRT(s):   6.701  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:58:41 EDT 2021 | tT(mins):  16.402 |  f: 0 | RT(s):   5.757 | aRT(s):   6.694  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:58:46 EDT 2021 | tT(mins):  16.480 |  f: 0 | RT(s):   4.663 | aRT(s):   6.681  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:58:57 EDT 2021 | tT(mins):  16.669 |  f: 0 | RT(s):  11.283 | aRT(s):   6.712  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:59:04 EDT 2021 | tT(mins):  16.784 |  f: 0 | RT(s):   6.852 | aRT(s):   6.713  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:59:13 EDT 2021 | tT(mins):  16.934 |  f: 0 | RT(s):   8.976 | aRT(s):   6.728  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:59:26 EDT 2021 | tT(mins):  17.138 |  f: 0 | RT(s):  12.243 | aRT(s):   6.765  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:59:33 EDT 2021 | tT(mins):  17.260 |  f: 0 | RT(s):   7.261 | aRT(s):   6.768  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:59:41 EDT 2021 | tT(mins):  17.398 |  f: 0 | RT(s):   8.234 | aRT(s):   6.778  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:59:45 EDT 2021 | tT(mins):  17.454 |  f: 0 | RT(s):   3.334 | aRT(s):   6.756  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 15:59:56 EDT 2021 | tT(mins):  17.638 |  f: 0 | RT(s):  10.993 | aRT(s):   6.783  maxRT(s):  15.143 | minRT(s):   2.645 
Mon Oct 25 16:00:03 EDT 2021 | tT(mins):  17.762 |  f: 0 | RT(s):   7.411 | aRT(s):   6.788  maxRT(s):  15.143 | minRT(s):   2.645 
