Sun Nov 14 20:21:39 EST 2021 | tT(mins):   9.663 |  f: 0 | RT(s):   2.672 | aRT(s):   6.442  maxRT(s):  12.677 | minRT(s):   2.672 
Sun Nov 14 20:21:42 EST 2021 | tT(mins):   9.711 |  f: 0 | RT(s):   2.836 | aRT(s):   6.403  maxRT(s):  12.677 | minRT(s):   2.672 
Sun Nov 14 20:21:45 EST 2021 | tT(mins):   9.759 |  f: 0 | RT(s):   2.843 | aRT(s):   6.365  maxRT(s):  12.677 | minRT(s):   2.672 
Sun Nov 14 20:21:51 EST 2021 | tT(mins):   9.854 |  f: 0 | RT(s):   5.627 | aRT(s):   6.357  maxRT(s):  12.677 | minRT(s):   2.672 
Sun Nov 14 20:22:02 EST 2021 | tT(mins):  10.36  |  f: 0 | RT(s):  10.831 | aRT(s):   6.406  maxRT(s):  12.677 | minRT(s):   2.672 
Sun Nov 14 20:22:16 EST 2021 | tT(mins):  10.266 |  f: 0 | RT(s):  13.763 | aRT(s):   6.484  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:22:25 EST 2021 | tT(mins):  10.420 |  f: 0 | RT(s):   9.132 | aRT(s):   6.512  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:22:30 EST 2021 | tT(mins):  10.511 |  f: 0 | RT(s):   5.406 | aRT(s):   6.501  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:22:40 EST 2021 | tT(mins):  10.667 |  f: 0 | RT(s):   9.323 | aRT(s):   6.531  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:22:44 EST 2021 | tT(mins):  10.738 |  f: 0 | RT(s):   4.185 | aRT(s):   6.508  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:22:50 EST 2021 | tT(mins):  10.833 |  f: 0 | RT(s):   5.641 | aRT(s):   6.500  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:22:55 EST 2021 | tT(mins):  10.928 |  f: 0 | RT(s):   5.631 | aRT(s):   6.492  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:23:00 EST 2021 | tT(mins):  11.8   |  f: 0 | RT(s):   4.706 | aRT(s):   6.475  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:23:05 EST 2021 | tT(mins):  11.98  |  f: 0 | RT(s):   5.334 | aRT(s):   6.465  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:23:15 EST 2021 | tT(mins):  11.255 |  f: 0 | RT(s):   9.341 | aRT(s):   6.493  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:23:23 EST 2021 | tT(mins):  11.389 |  f: 0 | RT(s):   7.982 | aRT(s):   6.508  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:23:29 EST 2021 | tT(mins):  11.495 |  f: 0 | RT(s):   6.304 | aRT(s):   6.506  maxRT(s):  13.763 | minRT(s):   2.672 
Sun Nov 14 20:23:36 EST 2021 | tT(mins):  11.607 |  f: 0 | RT(s):   6.634 | aRT(s):   6.508  maxRT(s):  13.763 | minRT(s):   2.672 
